,Station name,UIC code,Total travelers 2023,Total travelers 2022,Total travelers 2021,Total travelers 2020,Total travelers 2019,Total travelers 2018,Total travelers 2017,Total travelers 2016,Total travelers 2015
1762,Yvetot,87413385,1188814,1039150,787592,687572,997167,902928,920117,909234,934997
1763,Zetting,87193649,25391,23926,25555,35621,30489,29411,34305,34613,33748
1764,Zillisheim,87182196,70467,49885,44592,48514,79946,73263,67398,64910,66596
1765,Échirolles,87725895,500121,486905,342753,281802,457707,394714,428483,380139,405563
1766,Écouché,87444547,326,734,178,285,528,202,641,825,919
1767,Épernon,87394114,1578352,1548595,1255772,1045524,1453371,1392274,1456641,1460910,1513995
1768,Abbaretz,87481614,54862,40825,27466,22773,38473,38027,35637,33021,35989
1769,Achiet-le-Grand,87342048,82597,80648,71432,67305,97848,92323,96451,92084,92018
1770,Achères Grand Cormier,87386052,188426,177092,209673,126513,221003,228032,235698,238687,241046
1771,Agay,87757559,39364,32800,25094,15390,22284,15093,14154,19240,19121
1772,Aigues-Mortes,87775858,17034,11325,8201,5683,6146,5311,4822,3546,3917
1773,Ailly-sur-Noye,87313221,158871,128969,115954,93929,110710,99154,109757,109495,115038
1774,Aime - La Plagne,87741769,123261,126465,60161,71603,105825,104267,106398,105331,101243
1775,Aiserey,87713636,30881,33880,21511,19409,25004,24241,25375,24134,26267
1776,Aix-les-Bains le Revard,87741132,1713650,1589138,1322646,988929,1515076,1287574,1370409,1295717,1299301
1777,Albens,87746115,138278,126604,90061,67880,106006,84275,99810,86676,86131
1778,Albert,87313072,600665,524871,421455,347558,473720,447970,471473,455852,453216
1779,Allenc,87783654,692,409,206,182,235,198,132,116,123
1780,Ambronay - Priay,87743146,8222,8271,6321,5665,9145,5983,6623,7700,7463
1781,Amilly Ouerray,87394205,26458,27282,25521,24910,26442,23309,23907,25333,23290
1782,Andilly,87142364,0,0,0,0,0,0,0,0,0
1783,Andrésy,87381491,579152,586872,516688,205140,445551,499012,563440,623470,583871
1784,Annemasse,87745497,1577457,1367966,1023717,647893,709777,618090,793906,767099,781951
1785,Argelès-sur-Mer,87784231,192314,164672,124292,86560,117724,103492,126203,106538,125241
1786,Argentan,87444539,444175,389139,256502,175602,294691,274448,298107,291798,310239
1787,Argenteuil,87381848,15911703,16033835,14527144,8206484,16219640,16094786,15608674,15388969,14929217
1788,Argentière,87746859,15021,16320,12758,12408,14463,15238,13277,15678,16513
1789,Arnage,87396549,11351,10403,8831,7963,12703,14550,17688,15575,19029
1790,Artenay,87543058,92086,94229,74019,60524,71415,62685,62856,60354,61368
1791,Aubie - Saint-Antoine,87491233,57877,54573,38410,28303,39025,30075,25566,19924,16770
1792,Auchy-lès-Hesdin,87317230,19455,15943,7418,589,1133,1414,5041,7936,9640
1793,Audruicq,87281428,306468,281007,232323,197448,250145,233256,244600,233684,231014
1794,Aulnay-sous-Bois,87271411,28732540,22707800,21264933,12900964,24479374,24831698,24926269,24327097,23726233
1795,Aurec-sur-Loire,87726760,72511,69604,49788,35557,69598,64270,51339,63844,70722
1796,Autun,87694570,49667,66454,64134,60025,61002,63796,63847,64509,74269
1797,Auxonne,87713347,375248,362209,258572,246666,298952,270708,284494,272128,269718
1798,Avranches,87448514,33855,27965,19124,13362,16899,16954,24311,23086,28911
1799,Aytré Plage,87437806,15272,13419,9707,7205,11310,9352,11792,12485,13118
1800,Azerailles,87141408,11407,11158,8498,7448,10951,10053,11678,12881,15799
1801,Babinière,87590349,61788,53740,32561,34528,65168,93097,114818,107295,96983
1802,Bailleul-Sir-Berthoult,87342592,566,647,540,640,852,687,951,1628,1035
1803,Ballan-Miré,87571604,37300,39095,25746,28881,44366,38016,36096,33804,38356
1804,Bantzenheim,87182840,6682,6457,5363,4662,7285,8034,9423,10091,10914
1805,Baraqueville Carcenac Peyralès,87615757,17518,13212,10006,7645,9837,6223,6141,6053,5699
1806,Bartenheim,87182113,129259,116030,93691,86048,143212,139801,145840,141588,140142
1807,Basse-Ham,87191601,1651,562,18,14,646,523,642,632,1408
1808,Batz-sur-Mer,87481770,32028,26382,18989,11761,15922,12216,11675,9851,8915
1809,Bayard,87175133,66,119,145,193,981,2074,1296,1730,2037
1810,Bayeux,87444067,627707,546928,375364,312198,572729,489769,547532,530050,555799
1811,Beaucaire,87775023,56589,47307,34642,17161,6521,7446,9383,8729,9525
1812,Belfort,87184002,1294166,1245496,908286,775926,1124537,1006802,1146193,1059616,1159439
